timestamp,evento
81152,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
82032,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
82801,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
83397,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
84406,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
86743,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
87035,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
87902,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
88619,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
89176,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
89884,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
91146,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
93426,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
94204,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
95764,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
96016,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
96903,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
98078,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
98254,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
99444,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
100730,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
102200,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
103641,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
103892,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
104854,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
104985,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
105979,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
106998,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
107908,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
108515,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
108948,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
110010,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
110055,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
